trial,objective,precision,recall,f1,fpr,approve_threshold,block_threshold,cap,fpr_le_target,precision_ge_target,policy_pass
348,0.339539077016542,0.1679151061173533,0.4686411149825784,0.24724264705882354,0.08420779257241927,0.2169621957259988,0.6664549368121668,0.30594493370061887,False,False,False
157,0.3393458763608891,0.16718394372025658,0.4692218350754936,0.24652936689549962,0.08475528009602089,0.2676526737987985,0.6673194699708767,0.34219834144264516,False,False,False
155,0.33931862731102724,0.16805671392827357,0.46806039488966317,0.24731512733967476,0.08401827766040332,0.35220195230139856,0.6665522287690547,0.3216163638775106,False,False,False
332,0.33924558857820825,0.16779966703662597,0.46825396825396826,0.24706362986416097,0.08420779257241927,0.2612217371201017,0.6647978676988546,0.40104433577037374,False,False,False
154,0.33904241285530823,0.16750917526487086,0.46825396825396826,0.2467486101902382,0.08438326934280439,0.2538926775825546,0.6660567179012271,0.1700490238972167,False,False,False
100,0.3389272897171868,0.16856603509753199,0.46670538133952766,0.2476757922851713,0.08347079013680168,0.38353658644022953,0.6688728575907349,0.4310475721037315,False,False,False
94,0.33884042085090016,0.1670693821194339,0.46844754161827334,0.24629789832578494,0.08468508938786684,0.26260827168297207,0.6630346728287065,0.2146744964759401,False,False,False
244,0.3388308985177483,0.1690427698574338,0.4659310878823074,0.24808039165163617,0.08304964588787736,0.20581511003044195,0.6698453776392261,0.32797771334108616,False,False,False
191,0.33826710624537104,0.16884485666104554,0.4651567944250871,0.2477575007732756,0.08302858867543114,0.3038203534346979,0.6676010079836969,0.3768589553568115,False,False,False
42,0.33776189279961766,0.17013097949886105,0.4626403406891212,0.2487769334859998,0.08182832756599681,0.3554480074651891,0.6714301739518751,0.2969461363267538,False,False,False
56,0.33660254022565156,0.17222303100888048,0.45799457994579945,0.25031739314430806,0.07982087331279085,0.415142479823594,0.6763289107080036,0.38929848552843427,False,False,False
151,0.33638341961712553,0.1733470618518791,0.4562524196670538,0.25123914086233545,0.07889435596515733,0.4448108098966986,0.6776861077047801,0.1893287508617661,False,False,False
327,0.3356794116526909,0.17326258383079077,0.4550909794812234,0.25097411262343206,0.07873993640721841,0.2526510465282738,0.6807029112350168,0.33490983649828476,False,False,False
133,0.335611553228241,0.17316049200854386,0.4550909794812234,0.2508669903430614,0.07879608897374166,0.4057339692982743,0.6799819735244981,0.18906152469874382,False,False,False
259,0.33535763877373426,0.1737551867219917,0.453929539295393,0.25131282820705175,0.07826965866258624,0.3138075869127893,0.6797607983633833,0.3145450961971317,False,False,False
178,0.3349259854650397,0.1740845489729086,0.4527680991095625,0.25147833566283195,0.07789062883855435,0.2386111608713465,0.6805405401855864,0.31541839181098763,False,False,False
223,0.3349125646173524,0.17390011890606422,0.4529616724738676,0.2513156481580926,0.07802399118404706,0.27409687219825307,0.679767736510613,0.19797573350059866,False,False,False
11,0.33428946998459896,0.1741044776119403,0.4516066589237321,0.2513196165032856,0.07768005671409219,0.24910866642864332,0.6834391793470408,0.4086054734763633,False,False,False
167,0.33404473947540686,0.17439161362785474,0.4508323654665118,0.25149829922790345,0.07739227481066056,0.2213894102545983,0.6838259369578162,0.15358937628717576,False,False,False
227,0.32999725894271253,0.17654349678518863,0.44115369725125825,0.25217150760719226,0.07461272276776,0.39079677059881096,0.6862550287987558,0.21851894208820605,False,False,False
36,0.3297281997734232,0.17697875321036657,0.44018583042973286,0.2524562864279767,0.07422667387291271,0.3633598022523738,0.6880949160314459,0.31494578207404283,False,False,False
162,0.3296883190334398,0.17795213809336996,0.43902439024390244,0.25325219139076544,0.07353880493300297,0.2701471551331873,0.6921582382806205,0.12428780506169276,False,False,False
163,0.3292404401456377,0.17707195255189637,0.43921796360820753,0.25239154616240267,0.07401610174845054,0.2888010808990019,0.6884946607072955,0.21400534784648373,False,False,False
273,0.32915530128731707,0.17659409020217728,0.43960511033681765,0.2519693775657384,0.07432494086432838,0.43598690238118065,0.6894966948391973,0.18738225108186138,False,False,False
295,0.3291491478182038,0.17761919698870765,0.43844367015098723,0.25281839491014624,0.07360899564115703,0.3781241525908053,0.6910563323631495,0.17821275070195694,False,False,False
189,0.3281485736188497,0.17742315855671723,0.43689508323654663,0.252362050651311,0.0734475570124027,0.4319619754569535,0.6894156060219233,0.21178842600509046,False,False,False
267,0.32813764857205285,0.17827739075364155,0.4359272164150213,0.2530621418136869,0.07285795506390864,0.3017214899787134,0.6911017118949616,0.422921025535547,False,False,False
299,0.32694461916826895,0.17971830985915493,0.43224932249322495,0.25387982491046557,0.07153836975061241,0.3670139964216872,0.6945699912283286,0.1448436428718348,False,False,False
55,0.32553433323696335,0.18083802989463366,0.42857142857142855,0.25435119765638464,0.07039426120770133,0.3580506250287156,0.6990286652928265,0.2816420045105127,False,False,False
119,0.325070521303738,0.18062249816191486,0.42799070847851334,0.25403573275119207,0.07040128027851673,0.4472729848749756,0.6972251441741989,0.28521807741821903,False,False,False
325,0.3238191209960943,0.18147995039272427,0.4248935346496322,0.25433057180928104,0.06948880107251403,0.2617032226572986,0.6994989731842072,0.25979734738260923,False,False,False
81,0.32289575704510654,0.1821595460614152,0.42257065427797136,0.25457725947521864,0.06879391306178888,0.4029970503776362,0.7027941460807834,0.17790254137109898,False,False,False
272,0.3226704415623327,0.18196981069135185,0.42237708091366627,0.2543568222882788,0.06885006562831213,0.23693836126802686,0.7019649998748293,0.43678099838365153,False,False,False
329,0.3226521870425271,0.1819394646877345,0.42237708091366627,0.25432717524331255,0.06886410376994294,0.4188595599485604,0.7018249045631938,0.1677131704918382,False,False,False
193,0.3215857541450155,0.18426889609281694,0.4181184668989547,0.25580293699668405,0.06711635513690697,0.39875685182403875,0.7066408628513937,0.13318083527853483,False,False,False
245,0.32101113219662314,0.18443359876701773,0.4169570267131243,0.25574354407836153,0.06685664951673698,0.2968751338846921,0.7062911624839084,0.34454225016051054,False,False,False
35,0.3200161143404547,0.18522363526256597,0.41444057297715836,0.2560239162929746,0.0661056089394886,0.23359172832826539,0.7071127391756274,0.28398247672301535,False,False,False
228,0.32000295803803386,0.18539374512691675,0.4142469996128533,0.2561493805733437,0.0660003228772575,0.2353578220064657,0.7074254347530733,0.40567672166699165,False,False,False
102,0.3173384996815883,0.1872223209525502,0.4078590785907859,0.2566382460414129,0.06420344074851371,0.3535965266337965,0.7129511811223119,0.13057438449479847,False,False,False
268,0.3167045846376348,0.18611430085681477,0.4078590785907859,0.2555953175228968,0.06467371849314588,0.407357140040801,0.710627772213084,0.33973172309754773,False,False,False
331,0.31311733314808365,0.1889958734525447,0.3989547038327526,0.25648683964905733,0.06207666229144586,0.223336561420168,0.7194398644950668,0.2082362213022702,False,False,False
135,0.31270580790446684,0.18969338751385298,0.3975996902826171,0.25684631736901337,0.06158532733436747,0.38641199780946445,0.7207744773250535,0.3898856522861667,False,False,False
